Date,Unit,Minimum,Maximum,Average,Market
2020-12-01,Kg,45,55,50.0,Tomato
2020-12-02,Kg,48,55,51.5,Tomato
2020-12-03,Kg,50,55,52.5,Tomato
2020-12-04,Kg,45,55,50.0,Tomato
2020-12-05,Kg,45,55,50.0,Tomato
2020-12-06,Kg,45,50,47.5,Tomato
2020-12-07,Kg,45,55,50.0,Tomato
2020-12-08,Kg,45,55,50.0,Tomato
2020-12-09,Kg,50,55,52.5,Tomato
2020-12-10,Kg,55,65,60.0,Tomato
2020-12-11,Kg,45,52,48.5,Tomato
2020-12-12,Kg,50,55,52.5,Tomato
2020-12-13,Kg,40,50,45.0,Tomato
2020-12-14,Kg,35,45,40.0,Tomato
2020-12-15,Kg,35,45,40.0,Tomato
2020-12-16,Kg,35,40,37.5,Tomato
2020-12-17,Kg,30,40,35.0,Tomato
2020-12-18,Kg,30,40,35.0,Tomato
2020-12-19,Kg,40,50,45.0,Tomato
2020-12-20,Kg,40,50,45.0,Tomato
2020-12-21,Kg,35,45,40.0,Tomato
2020-12-22,Kg,40,50,45.0,Tomato
2020-12-23,Kg,35,45,40.0,Tomato
2020-12-24,Kg,45,55,50.0,Tomato
2020-12-25,Kg,40,50,45.0,Tomato
2020-12-26,Kg,45,55,50.0,Tomato
2020-12-27,Kg,45,55,50.0,Tomato
2020-12-28,Kg,50,55,52.5,Tomato
2020-12-29,Kg,45,50,47.5,Tomato
2020-12-30,Kg,45,50,47.5,Tomato
2020-12-31,Kg,40,45,42.5,Tomato
2021-01-01,Kg,40,45,42.5,Tomato
2021-01-02,Kg,30,40,35.0,Tomato
2021-01-03,Kg,35,40,37.5,Tomato
2021-01-04,Kg,30,40,35.0,Tomato
2021-01-05,Kg,30,35,32.5,Tomato
2021-01-06,Kg,35,45,40.0,Tomato
2021-01-07,Kg,30,40,35.0,Tomato
2021-01-08,Kg,25,35,30.0,Tomato
2021-01-09,Kg,15,25,20.0,Tomato
2021-01-10,Kg,10,15,12.5,Tomato
2021-01-11,Kg,12,18,15.0,Tomato
2021-01-12,Kg,15,25,20.0,Tomato
2021-01-13,Kg,15,25,20.0,Tomato
2021-01-14,Kg,15,20,17.5,Tomato
2021-01-15,Kg,15,20,17.5,Tomato
2021-01-16,Kg,20,30,25.0,Tomato
2021-01-17,Kg,15,20,17.5,Tomato
2021-01-18,Kg,15,20,17.5,Tomato
2021-01-19,Kg,12,18,15.0,Tomato
2021-01-20,Kg,12,18,15.0,Tomato
2021-01-21,Kg,10,20,15.0,Tomato
2021-01-22,Kg,10,20,15.0,Tomato
2021-01-23,Kg,10,20,15.0,Tomato
2021-01-24,Kg,15,20,17.5,Tomato
2021-01-25,Kg,14,18,16.0,Tomato
2021-01-26,Kg,18,22,20.0,Tomato
2021-01-27,Kg,20,25,22.5,Tomato
2021-01-28,Kg,20,25,22.5,Tomato
2021-01-29,Kg,12,20,16.0,Tomato
2021-01-30,Kg,15,20,17.5,Tomato
2021-01-31,Kg,15,20,17.5,Tomato
2021-02-01,Kg,15,20,17.5,Tomato
2021-02-02,Kg,12,20,16.0,Tomato
2021-02-03,Kg,15,20,17.5,Tomato
2021-02-06,Kg,15,20,17.5,Tomato
2021-02-07,Kg,15,20,17.5,Tomato
2021-02-08,Kg,15,20,17.5,Tomato
2021-02-09,Kg,12,20,16.0,Tomato
2021-02-10,Kg,15,20,17.5,Tomato
2021-02-11,Kg,15,25,20.0,Tomato
2021-02-12,Kg,12,16,14.0,Tomato
2021-02-13,Kg,12,20,16.0,Tomato
2021-02-14,Kg,15,20,17.5,Tomato
2021-02-15,Kg,15,20,17.5,Tomato
2021-02-16,Kg,15,20,17.5,Tomato
2021-02-17,Kg,15,20,17.5,Tomato
2021-02-18,Kg,15,20,17.5,Tomato
2021-02-19,Kg,10,15,12.5,Tomato
2021-02-20,Kg,8,15,11.5,Tomato
2021-02-21,Kg,8,15,11.5,Tomato
2021-02-22,Kg,10,15,12.5,Tomato
2021-02-23,Kg,10,15,12.5,Tomato
2021-02-24,Kg,15,20,17.5,Tomato
2021-02-25,Kg,15,20,17.5,Tomato
2021-02-26,Kg,15,20,17.5,Tomato
2021-02-27,Kg,15,20,17.5,Tomato
2021-02-28,Kg,15,20,17.5,Tomato
2021-03-01,Kg,8,12,10.0,Tomato
2021-03-02,Kg,10,15,12.5,Tomato
2021-03-03,Kg,10,15,12.5,Tomato
2021-03-05,Kg,12,15,13.5,Tomato
2021-03-06,Kg,15,20,17.5,Tomato
2021-03-07,Kg,15,20,17.5,Tomato
2021-03-08,Kg,10,15,12.5,Tomato
2021-03-09,Kg,10,15,12.5,Tomato
2021-03-10,Kg,20,25,22.5,Tomato
2021-03-11,Kg,20,25,22.5,Tomato
2021-03-12,Kg,20,25,22.5,Tomato
2021-03-13,Kg,15,20,17.5,Tomato
2021-03-14,Kg,20,25,22.5,Tomato
2021-03-15,Kg,25,30,27.5,Tomato
2021-03-16,Kg,25,30,27.5,Tomato
2021-03-17,Kg,15,20,17.5,Tomato
2021-03-18,Kg,15,20,17.5,Tomato
2021-03-19,Kg,25,30,27.5,Tomato
2021-03-20,Kg,20,25,22.5,Tomato
2021-03-21,Kg,20,25,22.5,Tomato
2021-03-22,Kg,40,50,45.0,Tomato
2021-03-23,Kg,40,50,45.0,Tomato
2021-03-24,Kg,40,50,45.0,Tomato
2021-03-25,Kg,30,40,35.0,Tomato
2021-03-26,Kg,30,40,35.0,Tomato
2021-03-27,Kg,40,50,45.0,Tomato
2021-03-28,Kg,40,50,45.0,Tomato
2021-03-29,Kg,45,50,47.5,Tomato
2021-03-30,Kg,45,50,47.5,Tomato
2021-03-31,Kg,45,50,47.5,Tomato
2021-04-01,Kg,30,40,35.0,Tomato
2021-04-02,Kg,30,40,35.0,Tomato
2021-04-03,Kg,35,45,40.0,Tomato
2021-04-04,Kg,45,50,47.5,Tomato
2021-04-05,Kg,30,40,35.0,Tomato
2021-04-06,Kg,30,35,32.5,Tomato
2021-04-07,Kg,30,40,35.0,Tomato
2021-04-08,Kg,30,40,35.0,Tomato
2021-04-09,Kg,30,40,35.0,Tomato
2021-04-10,Kg,30,40,35.0,Tomato
2021-04-11,Kg,25,35,30.0,Tomato
2021-04-12,Kg,25,35,30.0,Tomato
2021-04-13,Kg,20,25,22.5,Tomato
2021-04-14,Kg,20,25,22.5,Tomato
2021-04-15,Kg,15,20,17.5,Tomato
2021-04-16,Kg,15,20,17.5,Tomato
2021-04-17,Kg,12,16,14.0,Tomato
2021-04-18,Kg,15,20,17.5,Tomato
2021-04-19,Kg,10,15,12.5,Tomato
2021-04-20,Kg,10,15,12.5,Tomato
2021-04-21,Kg,15,20,17.5,Tomato
2021-04-22,Kg,10,15,12.5,Tomato
2021-04-23,Kg,14,18,16.0,Tomato
2021-04-24,Kg,10,15,12.5,Tomato
2021-04-25,Kg,15,20,17.5,Tomato
2021-04-26,Kg,10,15,12.5,Tomato
2021-04-27,Kg,10,15,12.5,Tomato
2021-04-28,Kg,15,20,17.5,Tomato
2021-04-29,Kg,30,40,35.0,Tomato
2021-04-30,Kg,20,25,22.5,Tomato
2021-05-01,Kg,20,25,22.5,Tomato
2021-05-02,Kg,25,30,27.5,Tomato
2021-05-03,Kg,15,20,17.5,Tomato
2021-05-04,Kg,10,15,12.5,Tomato
2021-05-05,Kg,10,15,12.5,Tomato
2021-05-06,Kg,10,15,12.5,Tomato
2021-05-07,Kg,15,20,17.5,Tomato
2021-05-08,Kg,10,15,12.5,Tomato
2021-05-09,Kg,10,15,12.5,Tomato
2021-05-10,Kg,10,15,12.5,Tomato
2021-05-11,Kg,10,15,12.5,Tomato
2021-05-12,Kg,30,35,32.5,Tomato
2021-05-13,Kg,35,40,37.5,Tomato
